,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[ True False False],[ True False False],1,11,1,2
1,[False False  True],[False False  True],1,54,1,1
2,[False False  True],[False False  True],1,12,1,0
3,[ True False False],[ True False False],1,3,1,0
4,[False False False],[False False False],1,0,1,0
5,[ True False False],[ True False False],1,12,1,0
6,[False False False],[False False False],1,0,1,0
7,[False  True False],[False  True False],1,5,1,1
8,[ True False False],[ True False False],1,0,1,1
9,[ True False False],[False False False],1,0,1,2
10,[False False False],[False False  True],1,58,1,0
11,[ True False False],[False  True False],1,0,1,1
12,[False False  True],[False  True False],1,24,1,0
13,[False  True False],[False  True False],1,0,1,2
14,[False False False],[False False False],1,0,1,1
15,[ True False False],[ True False False],1,3,1,1
16,[False False  True],[False False  True],1,33,1,0
17,[False False  True],[False False  True],1,1,1,1
18,[False False  True],[False False  True],1,5,1,1
19,[False  True False],[False  True False],1,0,1,0
