,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,10,1,2
1,[ True],[ True],1,21,1,1
2,[ True],[ True],1,22,1,0
3,[ True],[False],1,24,1,2
4,[ True],[False],1,4,1,2
5,[ True],[ True],1,3,1,3
6,[ True],[False],1,1,1,4
7,[ True],[ True],1,11,1,3
8,[ True],[ True],1,2,1,2
9,[ True],[ True],1,8,1,3
10,[ True],[ True],1,20,1,0
11,[ True],[False],1,1,1,4
12,[ True],[ True],1,15,1,3
13,[ True],[ True],1,8,1,2
14,[ True],[ True],1,11,1,2
15,[ True],[ True],1,16,1,0
16,[ True],[ True],1,18,1,3
17,[ True],[ True],1,14,1,3
18,[ True],[False],1,17,1,3
19,[ True],[ True],1,8,1,1
