,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False  True False],[ True False False],1,16,1,0
1,[ True False False],[ True False False],1,8,1,0
2,[False  True False],[False  True False],1,31,1,0
3,[False False  True],[False False  True],1,4,1,1
4,[False  True False],[False  True False],1,4,1,1
5,[False False  True],[False False  True],1,7,1,2
6,[False False False],[False False False],1,0,1,1
7,[False False  True],[False False  True],1,1,1,0
8,[False False False],[False False False],1,27,1,0
9,[False False  True],[False False False],1,1,1,1
10,[False False  True],[ True False False],1,29,1,0
11,[ True False False],[False False  True],1,7,1,1
12,[False False False],[False False False],1,5,1,0
13,[ True False False],[ True False False],1,25,1,1
14,[ True False False],[ True False False],1,7,1,0
15,[False  True False],[ True False False],1,4,1,0
16,[ True False False],[ True False False],1,21,1,1
17,[ True False False],[ True False False],1,25,1,1
18,[ True False False],[False False False],1,6,1,1
19,[ True False False],[ True False False],1,3,1,0
