,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False False  True],[False  True False],1,12,1,0
1,[False False  True],[False False  True],1,0,1,0
2,[ True False False],[ True False False],1,18,1,0
3,[ True False False],[ True False False],1,7,1,0
4,[False False  True],[False False  True],1,4,1,2
5,[False False False],[False False False],1,1,1,2
6,[False  True False],[False  True False],1,2,1,3
7,[ True False False],[False False False],1,0,1,1
8,[False  True False],[False False False],1,2,1,1
9,[False False  True],[False False False],1,0,1,4
10,[ True False False],[ True False False],1,3,1,0
11,[False False  True],[False False False],1,0,1,3
12,[ True False False],[ True False False],1,22,1,1
13,[False False  True],[ True False False],1,18,1,2
14,[ True False False],[ True False False],1,0,1,1
15,[ True False False],[ True False False],1,3,1,2
16,[False False  True],[False  True False],1,16,1,0
17,[False  True False],[False False False],1,0,1,4
18,[False False  True],[False False  True],1,0,1,2
19,[ True False False],[False False False],1,0,1,3
