,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,4,1,3
1,[ True],[ True],1,7,1,0
2,[ True],[ True],1,18,1,0
3,[ True],[ True],1,15,1,1
4,[ True],[ True],1,0,1,6
5,[ True],[ True],1,2,1,5
6,[ True],[ True],1,0,1,9
7,[ True],[False],1,3,1,4
8,[ True],[ True],1,0,1,6
9,[ True],[False],1,0,1,5
10,[ True],[ True],1,12,1,0
11,[ True],[ True],1,0,1,7
12,[ True],[ True],1,12,1,1
13,[ True],[ True],1,3,1,1
14,[ True],[ True],1,2,1,1
15,[ True],[ True],1,5,1,0
16,[ True],[ True],1,14,1,4
17,[ True],[False],1,0,1,7
18,[ True],[ True],1,8,1,4
19,[ True],[ True],1,5,1,5
