,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,36,1,18
1,[ True],[ True],1,50,1,3
2,[ True],[False],1,45,1,67
3,[False],[False],1,30,1,2
4,[ True],[ True],1,7,1,0
5,[ True],[ True],1,4,1,0
6,[ True],[ True],1,0,1,0
7,[ True],[ True],1,17,1,1
8,[ True],[ True],1,2,1,0
9,[ True],[ True],1,3,1,0
10,[ True],[ True],1,63,1,2
11,[ True],[ True],1,3,1,0
12,[False],[ True],1,33,1,1
13,[ True],[ True],1,12,1,0
14,[ True],[ True],1,14,1,0
15,[ True],[ True],1,16,1,0
16,[False],[ True],1,52,1,4
17,[ True],[False],1,11,1,3
18,[ True],[ True],1,26,1,0
19,[ True],[False],1,11,1,6
