,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False False  True],[False False  True],1,35,1,0
1,[False False  True],[ True False False],1,53,1,0
2,[ True False False],[ True False False],1,92,1,0
3,[False False  True],[False False  True],1,8,1,1
4,[False  True False],[False False  True],1,20,1,1
5,[False  True False],[False False False],1,8,1,2
6,[False  True False],[False False False],1,1,1,2
7,[False  True False],[False  True False],1,67,1,0
8,[False False  True],[ True False False],1,50,1,0
9,[False  True False],[ True False False],1,35,1,1
10,[False False  True],[False False  True],1,85,1,0
11,[False  True False],[False  True False],1,59,1,0
12,[False  True False],[ True False False],1,45,1,0
13,[ True False False],[False False False],1,31,1,1
14,[False  True False],[ True False False],1,12,1,0
15,[False  True False],[False False  True],1,12,1,0
16,[False False False],[False  True False],1,63,1,0
17,[False  True False],[ True False False],1,4,1,0
18,[ True False False],[ True False False],1,2,1,1
19,[ True False False],[False False False],1,29,1,2
